127.0.0.1 - - [07/Feb/2025:13:00:03 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/img/AdminLTELogo.png HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47712
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/moment/moment.min.js HTTP/1.1" 200 58862
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61588
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153030
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/js/demo.js HTTP/1.1" 200 22628
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/js/adminlte.js HTTP/1.1" 200 104260
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/img/user3-128x128.jpg HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42602
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/js/pages/dashboard.js HTTP/1.1" 200 7359
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/dist/img/AdminLTELogo.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:27 +0700] "GET /movie-website/templates/admin/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:27 +0700] "GET /movie-website/templates/admin/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:41 +0700] "GET /movie-website/admin/video?action=view HTTP/1.1" 200 22661
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:42 +0700] "GET /movie-website/admin/dist/img/AdminLTELogo.png HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:51 +0700] "GET /movie-website/admin/video?action=add HTTP/1.1" 200 14057
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:56 +0700] "GET /movie-website/admin/user HTTP/1.1" 404 784
